Frame Number,MSE Value, scaled value
Frame Number,MSE Value, scaled value
frame_1.png,36,6
frame_2.png,36,6
frame_3.png,36,6
frame_4.png,36,6
frame_5.png,36,6
frame_6.png,36,6
frame_7.png,36,6
frame_8.png,36,6
frame_9.png,36,6
frame_10.png,36,6
frame_11.png,36,6
frame_12.png,36,6
frame_13.png,36,6
frame_14.png,36,6
frame_15.png,36,6
frame_16.png,36,6
frame_17.png,36,6
frame_18.png,36,6
frame_19.png,36,6
frame_20.png,36,6
frame_21.png,36,6
frame_22.png,36,6
frame_23.png,36,6
frame_24.png,36,6
frame_25.png,36,6
frame_26.png,36,6
frame_27.png,36,6
frame_28.png,36,6
frame_29.png,36,6
frame_30.png,36,6
frame_31.png,36,6
frame_32.png,36,6
frame_33.png,36,6
frame_34.png,36,6
frame_35.png,36,6
frame_36.png,36,6
frame_37.png,36,6
frame_38.png,36,6
frame_39.png,36,6
frame_40.png,36,6
frame_41.png,36,6
frame_42.png,36,6
frame_43.png,36,6
frame_44.png,36,6
frame_45.png,36,6
frame_46.png,36,6
frame_47.png,36,6
frame_48.png,36,6
frame_49.png,36,6
frame_50.png,36,6
